SeqId	Reference
11102-22	41262.9
11103-24	2631.8
11104-13	27317.8
11105-171	14024.9
11107-25	502.5
11109-56	2634.6
11110-4	469.5
11112-18	315.6
11116-16	4158.2
11117-2	2057.4
11118-107	9305.2
11120-49	3151.1
11121-56	5646.6
11122-97	1039.3
11126-102	550.5
11128-29	655.7
11129-66	1277.5
11130-158	498.1
11134-30	2112.4
11135-5	535
11137-43	652.2
11138-16	948
11139-4	3532.2
11140-56	2386.4
11142-11	982.5
11143-32	1544
11144-10	519.8
11145-72	718
11146-4	698.5
11147-17	368.9
11149-3	1446
11150-3	3444.8
11152-46	8813.6
11154-3	3448.8
11155-16	397
11157-35	2361.6
11158-40	2043
11159-14	359
11160-56	1872.2
11161-5	593.6
11162-37	838.8
11163-7	1522
11164-7	2845.9
11167-6	846.5
11168-3	755.5
11171-25	659.8
11173-29	728.8
11174-8	2404.1
11175-45	1175.6
11177-16	2324.9
11178-21	1741.2
11179-7	1213.4
11180-17	1543.3
11184-51	38703.1
11185-145	872.5
11186-12	701.2
11187-11	2062.2
11190-129	1405.3
11192-168	3583.9
11193-27	388.4
11194-6	827.1
11196-31	3095.4
11198-37	1035.1
11200-52	5291.7
11201-19	272.8
11202-70	717
11203-97	5198.1
11204-80	2563.9
11205-10	5416.9
11207-3	752.4
11208-15	7807.6
11211-7	5640.9
11212-7	5385.9
11214-40	17788.3
11215-6	4911.4
11217-16	916
11218-84	3102.2
11219-95	1269.4
11220-53	472.6
11222-62	442.7
11223-1	973.6
11226-16	2818.6
11227-31	1219.7
11228-37	1661.8
11229-16	1713.8
11230-12	587.2
11231-12	414.2
11232-46	2593.8
11237-49	4572.4
11239-49	2908.4
11241-8	7590.4
11242-33	360.1
11243-90	3334.8
11245-43	16431.7
11246-3	38885.9
11247-20	943
11248-43	1144.1
11252-30	1795.6
11254-13	930.5
11257-1	4819.5
11258-41	1416.7
11260-47	445.8
11262-39	249.2
11263-57	11048.9
11264-33	221.2
11265-8	1164.1
11266-8	3036.4
11270-17	1722.6
11273-176	527
11275-94	1067.9
11277-23	17256.1
11278-4	7845.4
11279-42	690.9
11280-6	742.1
11281-6	2616.2
11282-16	380.2
11283-13	913.4
11284-24	588.7
11285-8	1097.1
11286-78	506.2
11287-14	1686.8
11288-26	1881.4
11289-31	1340.8
11291-73	914.8
11292-13	1334.6
11293-14	933
11294-7	3751.3
11297-54	210.4
11300-32	857
11302-237	2006.4
11303-7	1221.3
11307-33	2316.4
11308-8	1180.8
11310-8	596
11311-79	856.9
11312-40	678
11313-100	2151.9
11315-148	875.5
11318-20	2045.9
11319-106	1126.6
11320-29	1063.8
11324-3	655.1
11325-8	369.4
11327-56	1650.2
11328-9	280.5
11330-15	1573.8
11333-82	7576.1
11334-7	850.5
11336-9	718.1
11338-49	540.9
11342-59	350.9
11347-9	24020.7
11348-132	1277.1
11350-30	1210.7
11351-233	310.9
11352-42	572.5
11353-143	1996.9
11354-21	5097.6
11355-10	1875.2
11356-19	582.2
11358-15	1025.2
11360-39	4911.2
11361-73	3556.7
11363-58	1100
11364-18	1979.1
11365-17	542.9
11368-32	29737.1
11369-23	8933.8
11370-20	550.2
11371-1	911.6
11372-2	2129.5
11375-49	597.2
11377-19	4754.5
11378-37	1081.3
11380-84	1236.3
11381-56	327.3
11382-5	2787.1
11383-41	1251.1
11387-3	2636.3
11388-75	4749.4
11390-24	252.7
11391-69	4771.4
11395-5	1880
11396-39	843.8
11401-181	1711.2
11402-17	371.2
11405-150	1014.6
11406-82	1507
11407-57	1022
11416-23	1701.3
11421-10	2481
11422-2	236.4
11424-4	4754.8
11425-31	4116.5
11428-31	3348.7
11429-80	1400.3
11430-49	3216.6
11431-235	2339.1
11432-11	166.7
11433-11	642.8
11436-6	666.3
11438-6	4772.1
11439-88	983.2
11440-58	1204.9
11441-11	10876.9
11442-1	1193
11444-49	504.5
11448-34	8780
11449-22	15501.7
11450-110	5193.8
11454-87	9278
11456-2	650.4
11457-53	899
11458-30	38255.2
11459-81	1592.2
11462-8	424.4
11464-9	1062
11465-4	558.5
11468-15	944.7
11476-43	2915.1
11480-1	305.8
11481-25	6839.6
11486-26	1432.6
11487-4	2491.1
11490-42	1520.2
11493-169	6629.2
11494-4	1403.4
11510-31	51727.7
11510-51	4150.8
11513-92	586.9
11514-196	6719.6
11516-7	1558.2
11530-37	19055
11531-24	1137.7
11534-6	468.5
11536-9	1406.4
11537-12	880.8
11538-216	664.4
11539-4	2487.8
11540-37	1006.5
11542-11	3050.2
11543-84	1050.9
11544-39	315.6
11545-9	4020.1
11546-7	623.4
11547-84	32159
11548-84	467.4
11549-6	1466.3
11551-16	403.4
11556-19	1632.2
11557-3	935.5
11560-76	589.5
11561-32	8182.2
11562-9	445.6
11563-51	3182.2
11565-58	481.4
11566-48	298.2
11567-23	1237.3
11568-2	1824.1
11570-94	682.7
11571-75	2596.8
11572-4	5306.9
11573-3	399.2
11582-63	798
11586-2	2745.9
11587-5	2737.4
11590-5	646.9
11591-43	298
11592-1	821.5
11593-21	666.5
11596-47	510.4
11601-26	727.3
11602-12	2380.2
11606-22	684
11607-15	442.3
11608-5	16140.5
11614-29	3468.9
11615-16	38197.1
11616-9	1244
11617-1	1131.2
11618-83	567.8
11626-7	2654.7
11629-36	342
11633-89	5155.2
11634-32	50416.7
11636-33	14552.5
11638-42	1311.2
11643-73	557.3
11645-9	1239.2
11646-4	652.8
11647-6	2664.2
11649-3	7591.4
11651-24	334.4
11653-69	161
11654-77	609.5
11656-110	1461.9
11657-86	530.5
11659-31	5153.9
11661-11	421.4
11664-32	8682.9
11666-72	4892.3
11667-29	351.4
11669-39	484.4
11670-18	826.3
11671-19	1725.6
11672-17	3911.8
11677-17	217.8
11678-105	691.6
11681-8	18703.5
11682-7	2084.2
11683-19	3617.9
11690-47	723.3
11692-21	790.7
11696-7	22204.4
11699-16	1551.2
11708-2	831
11709-29	2029.2
11712-207	315.9
11715-1	223.1
11716-28	1952.5
11814-29	1801.7
11816-84	8980.4
11817-1	783.8
11825-27	621.4
11827-7	288.8
11830-48	14465.8
11833-83	754.9
11836-144	568.5
11837-7	299.7
11838-130	640.2
11851-21	2491.6
11860-3	619
11872-9	113.8
11890-2	1015
11895-21	4757.2
11910-27	532.6
11911-13	221.7
11912-45	384.8
11917-8	612.6
11918-54	2591.4
11919-84	718.9
11926-23	5604.1
11927-3	638.2
11934-9	235.7
11939-11	463.9
11949-25	1984.2
11952-1	645.4
11955-1	1266.4
11967-23	1522.9
11969-5	960.6
11986-30	750.1
11988-24	1333.2
11989-35	741.4
11993-227	1069.8
12001-7	625.5
12008-3	705.4
12012-33	507.6
12014-19	373.4
12016-60	7964.2
12018-84	1120.1
12020-39	607.8
12022-12	392.6
12030-82	2276.7
12033-3	680.5
12034-28	15633.4
12041-33	827.6
12046-51	664.9
12077-32	5310.9
