SeqId	Reference
11429-80	831.1
11430-49	1945.3
11431-235	3165.6
11432-11	116.9
11433-11	445.5
11436-6	586.1
11438-6	3671.3
11439-88	629.1
11440-58	884.1
11441-11	10000.7
11442-1	911.5
11444-49	400.8
11448-34	7587.0
11449-22	13824.5
11450-110	4918.5
11454-87	9761.7
11456-2	383.8
11457-53	511.7
11458-30	39862.7
11459-81	1070.8
11462-8	390.0
11464-9	559.0
11465-4	312.4
11468-15	1382.7
11476-43	3338.8
11480-1	252.9
11481-25	4552.1
11486-26	1581.1
11487-4	1086.7
11490-42	1232.6
11493-169	6363.9
11494-4	965.8
11510-31	46905.8
11510-51	3347.3
11513-92	387.1
11514-196	4872.0
11516-7	891.7
11530-37	25283.2
11531-24	831.8
11534-6	361.4
11536-9	797.9
11537-12	424.1
11538-216	520.2
11539-4	3944.8
11540-37	718.2
11542-11	2074.4
11543-84	634.4
11544-39	328.5
11545-9	2212.8
11546-7	384.7
11547-84	4823.6
11548-84	169.1
11549-6	987.4
11551-16	266.4
11556-19	1023.5
11557-3	635.5
11560-76	425.1
11561-32	7287.4
11562-9	340.6
11563-51	1924.7
11565-58	855.6
11566-48	229.9
11567-23	937.3
11568-2	1199.3
11570-94	404.1
11571-75	1746.7
11572-4	5352.9
11573-3	319.8
11582-63	767.3
11586-2	1825.4
11587-5	1627.5
11590-5	742.7
11591-43	211.5
11592-1	596.5
11593-21	518.9
11596-47	370.8
11601-26	565.4
11602-12	1330.3
11606-22	760.9
11607-15	368.5
11608-5	13160.9
11614-29	3638.0
11615-16	34016.6
11616-9	1131.5
11617-1	1234.4
11618-83	384.1
11626-7	2298.6
11629-36	253.4
11633-89	3461.9
11634-32	32276.3
11636-33	10721.0
11638-42	990.5
11643-73	410.4
11645-9	933.1
11646-4	493.5
11647-6	1414.7
11649-3	7163.6
11651-24	282.7
11653-69	105.1
11654-77	419.2
11656-110	980.5
11657-86	403.2
11659-31	4352.6
11661-11	319.4
11664-32	7791.5
11666-72	2628.3
11667-29	273.0
11669-39	334.8
11670-18	435.2
11671-19	1191.2
11672-17	2456.8
11677-17	152.6
11678-105	464.8
11681-8	16555.8
11682-7	1024.8
11683-19	3353.1
11690-47	573.8
11692-21	643.1
11696-7	14965.2
11699-16	1051.3
11708-2	565.3
11709-29	1195.7
11712-207	301.4
11715-1	189.9
11716-28	891.6
11814-29	1481.7
11816-84	6795.1
11817-1	639.8
11825-27	397.0
11827-7	191.0
11830-48	11439.5
11833-83	473.9
11836-144	486.8
11837-7	204.5
11838-130	268.0
11851-21	2200.8
11860-3	504.4
11872-9	92.5
11890-2	750.3
11895-21	3294.1
11910-27	472.3
11911-13	161.4
11912-45	319.9
11917-8	559.3
11918-54	1829.5
11919-84	942.9
11926-23	5097.2
11927-3	723.6
11934-9	186.7
11939-11	300.8
11949-25	860.5
11952-1	693.7
11955-1	912.2
11967-23	873.2
11969-5	424.6
11986-30	539.8
11988-24	741.3
11989-35	611.2
11993-227	779.6
12001-7	385.0
12008-3	477.6
12012-33	315.6
12014-19	300.1
12016-60	8301.8
12018-84	760.9
12020-39	672.5
12022-12	342.2
12030-82	1186.5
12033-3	308.5
12034-28	12634.9
12041-33	449.6
12046-51	452.3
12077-32	3807.4
12329-21	280.6
12332-7	3588.3
12333-87	757.0
12334-25	459.2
12338-27	5839.1
12340-17	4408.4
12341-8	1703.5
12343-14	648.9
12345-4	758.8
12347-29	3007.0
12348-46	982.5
12350-86	1329.8
12351-25	23346.3
12352-70	997.7
12355-223	1163.4
12356-65	1542.8
12357-41	588.2
12358-6	4728.4
12361-102	591.3
12363-70	1336.1
12365-108	2053.8
12366-16	339.5
12367-52	162.7
12368-18	387.1
12370-30	6667.4
12372-50	602.5
12373-73	2403.2
12374-8	3898.7
12376-85	2656.7
12378-71	3975.1
12381-26	3246.6
12382-2	436.2
12384-92	1465.7
12385-4	8005.6
12386-11	11200.8
12387-7	466.7
12389-4	911.2
12391-27	557.5
12392-30	1294.0
12394-53	307.2
12395-86	2082.9
12396-19	2088.4
12398-15	876.6
12399-194	679.5
12400-25	613.5
12401-3	1184.5
12403-30	980.9
12406-119	1117.4
12408-333	1007.2
12409-90	531.2
12411-60	1568.0
12414-31	5382.4
12415-122	1782.6
12417-46	800.2
12420-10	4837.4
12422-143	264.4
12423-38	1200.8
12424-107	515.8
12425-104	1501.4
12426-19	5705.8
12427-8	3357.2
12428-2	587.8
12430-78	691.5
12431-13	1684.5
12432-23	6763.6
12433-8	3900.2
12434-25	3426.8
12436-84	1930.8
12437-18	521.9
12438-127	553.4
12439-67	413.2
12442-4	505.6
12444-39	457.2
12445-50	717.0
12446-49	3927.2
12448-246	14560.6
12449-16	1558.1
12450-42	1083.4
12451-62	1108.0
12452-32	774.1
12453-161	514.3
12454-105	421.8
12455-48	602.3
12456-5	2068.6
12457-10	595.0
12458-79	2663.4
12459-13	299.5
12460-18	7679.9
12461-8	2341.3
12462-20	574.6
12463-7	1805.4
12466-7	2732.6
12469-19	17840.7
12471-47	1213.2
12473-48	666.6
12475-48	5502.8
12476-50	932.0
12477-42	752.0
12478-15	12349.6
12479-50	2416.0
12480-9	1835.6
12482-5	1112.0
12483-62	482.4
12484-67	1674.3
12486-8	727.6
12488-9	1300.8
12490-92	1684.4
12491-23	1892.6
12493-42	691.9
12494-99	3244.6
12497-29	4890.1
12498-12	4080.9
12499-108	12136.4
12500-88	2351.5
12501-10	2140.1
12503-5	840.6
12504-26	1506.0
12507-16	614.6
12508-9	5718.5
12509-115	1434.7
12510-3	1733.7
12511-83	1132.5
12513-8	841.0
12514-16	940.2
12515-45	787.0
12516-13	429.1
12517-52	14971.6
12518-289	1000.2
12521-3	1448.5
12522-6	5228.0
12524-18	1443.5
12527-50	707.8
12528-40	474.6
12529-32	2180.6
12530-14	3457.9
12531-5	849.7
12532-28	1120.5
12533-135	543.2
12534-10	1732.8
12535-2	326.2
12536-46	346.0
12537-88	1830.8
12538-19	397.0
12540-25	1389.2
12543-76	717.4
12546-1	837.1
12548-75	217.2
12549-33	3014.4
12551-3	1707.7
12553-5	643.4
12554-10	950.7
12556-7	477.3
12557-18	2925.1
12558-3	9905.7
12560-9	1514.1
12562-1	766.1
12563-2	1426.8
12564-9	2396.7
12568-14	119.0
12569-25	11206.9
12571-14	860.3
12572-236	679.7
12573-80	444.2
12574-36	1197.8
12575-30	9707.0
12576-21	366.7
12577-100	529.2
12578-13	3098.9
12580-7	751.0
12581-39	337.4
12583-77	817.0
12585-39	461.4
12587-65	539.4
12590-67	512.4
12591-27	912.9
12593-33	1644.4
12594-5	385.8
12595-11	1265.8
12597-68	869.0
12599-10	35660.8
12603-87	6696.6
12604-16	1249.0
12605-1	994.4
12612-37	1947.4
12616-45	659.5
12617-2	29441.9
12618-50	223.0
12619-14	4703.1
12620-3	3218.9
12621-55	2659.7
12622-96	218.4
12623-84	353.4
12625-138	1064.7
12626-6	195.9
12627-97	1063.8
12628-31	6117.1
12630-8	1261.0
12632-14	1113.2
12633-3	441.4
12634-79	703.5
12635-9	782.2
12636-113	224.2
12637-7	566.9
12641-3	4830.4
12643-4	8582.5
12644-63	401.5
12646-2	566.5
12647-52	179.6
12649-80	35599.1
12650-43	623.2
12651-21	401.9
12652-37	1700.2
12653-13	489.3
12655-30	1339.8
12656-1	878.8
12657-2	684.8
12658-72	710.6
12659-13	2162.3
12661-44	788.0
12662-82	646.9
12663-1	1809.3
12664-19	211.2
12665-16	425.2
12667-2	1122.5
12668-7	3071.6
12669-30	339.9
12670-15	318.2
12671-35	712.8
12675-14	24288.1
12676-1	1576.8
12677-164	1023.8
12678-66	1174.4
12681-63	2143.5
12682-5	695.8
12683-156	420.6
12684-5	2635.8
12685-57	410.0
12686-15	1051.1
12687-2	3074.6
12688-115	1475.0
12689-56	37169.9
12690-33	2741.1
12691-44	8425.5
12692-56	236.7
12693-2	1020.2
12694-28	270.4
12695-62	246.2
12696-166	281.9
12697-30	4847.4
12698-72	3929.5
12699-28	10643.5
12700-9	830.8
12701-1	5160.9
12702-13	887.4
12703-6	14684.8
12704-26	592.8
12705-9	253.7
12706-2	1520.6
12707-26	1085.8
12708-91	1368.5
12709-63	9076.5
12711-19	355.2
12712-9	404.0
12713-365	2052.3
12714-38	3601.8
12715-30	329.8
12716-3	1756.7
12717-65	893.6
12718-43	18747.1
12720-71	3002.4
12721-4	720.8
12724-81	12922.1
12726-3	751.9
12727-7	5944.4
12729-12	1109.7
12730-3	3278.6
12731-12	174.6
12732-13	3709.5
12734-112	297.3
12735-39	573.3
12737-12	1544.2
12738-43	2298.6
12740-55	446.4
12742-160	3637.0
12743-18	455.1
12746-4	780.6
12747-89	17771.0
12748-6	696.8
12750-9	1062.2
12751-26	389.3
12753-6	717.4
12754-14	1394.7
12756-3	2246.3
12758-47	3191.1
12759-47	643.5
12760-34	444.3
12761-12	985.5
12763-69	1410.1
12764-3	349.2
12766-33	199.1
12768-3	2956.6
12771-19	317.5
12772-8	335.6
12774-12	363.8
12775-6	1883.5
12777-11	778.1
12779-30	3261.2
12781-2	511.5
12783-29	3290.0
12784-10	1098.2
12785-49	191.3
12786-61	616.1
12787-47	263.8
12788-6	380.4
12790-10	615.8
12793-4	474.6
12794-6	679.4
12795-2	624.5
12796-44	437.4
12798-46	369.1
12799-65	484.2
12800-5	3292.3
12801-33	450.5
12803-9	379.9
12804-5	359.2
12807-89	993.5
12808-103	1293.2
12811-55	470.0
12812-25	6428.1
12813-18	880.4
12814-17	430.6
12815-9	363.3
12817-1	2175.4
12818-159	1011.3
12820-1	1519.6
12821-6	1674.2
12822-34	1167.5
12825-18	2108.2
12826-5	1725.2
12827-37	488.6
12830-4	1356.0
12831-21	2197.2
12832-10	930.4
12834-3	1162.7
12835-101	280.9
12838-28	259.5
12842-43	3663.6
12843-6	482.0
12844-10	580.1
12845-18	3310.6
12846-3	350.0
12847-27	927.5
12848-9	723.0
12849-25	472.5
12851-5	738.5
12853-112	234.4
12854-3	2228.2
12855-16	1125.0
12856-14	697.4
12859-33	1030.2
12860-7	464.0
12861-13	10808.8
12862-14	848.0
12864-9	1455.0
12867-40	1891.5
12869-68	30063.0
12871-10	2269.9
12872-35	375.6
12873-11	776.2
12875-28	934.8
12876-39	156.2
12878-60	1102.5
12879-5	377.4
12880-1	712.7
12881-17	2626.7
12882-7	1091.4
12885-42	306.2
12888-18	527.5
12891-1	1647.9
12892-10	442.0
12893-159	4217.6
12894-3	1304.7
12895-28	2183.7
12898-5	168.8
12900-29	599.0
12904-180	103.6
12906-137	568.5
12912-25	940.3
12915-26	890.9
12916-3	551.9
12921-51	81.1
12923-51	1286.7
12925-105	158.6
12931-16	583.5
12933-17	293.6
12934-1	987.5
12936-38	765.1
12939-1	773.1
12940-35	547.1
12941-24	175.9
12945-33	5919.6
12954-71	1002.0
12956-40	3246.2
12957-62	228.0
12958-8	783.2
12960-9	1793.0
12963-1	99.8
12968-2	1713.0
12970-35	208.2
12975-11	610.9
12976-49	199.0
12980-31	547.7
12986-12	467.1
12987-12	1830.1
12988-49	2192.3
12990-39	206.2
12991-49	208.6
12993-21	7642.6
13007-66	1062.8
13011-20	714.5
13013-41	1030.7
13021-12	847.8
13022-20	2034.2
13023-8	200.7
13025-4	374.8
13027-20	448.8
13028-2	4909.3
13032-1	189.7
13039-1	484.8
13041-47	404.9
13042-7	3256.5
13043-157	157.3
13044-5	4305.0
13053-6	1897.5
13054-87	2916.3
