Target	SeqId	Type	Dilution	RefLog10Median	RefLog10MAD	RefMedian	RefSD
INHBC	6408-2	Protein	0.5	4.044056221961872	0.15441688190699976	11012.085542141816	4342.663472375598
GP116	6409-57	Protein	0.5	3.0045889968012087	0.16512555057374967	1001.5003851223319	430.7688398021851
INSL4	6410-26	Protein	20	2.356563374321263	0.11124383464938248	234.28439850905227	58.97377003168634
DB135	6411-58	Protein	20	2.858455746582498	0.1377120927302753	727.167971208758	245.39575113975158
Fc_MOUSE	6412-26	Protein	20	2.161364241676834	0.12031576738201144	148.32291360888553	41.55725050928228
LIPK	6413-79	Protein	20	2.4814158432954803	0.11610363715289829	310.8476410184882	83.0639746947839
OAF	6414-8	Protein	0.5	3.8770877585447616	0.10422201109324458	7566.669791632663	1878.1890690644052
CPN2	6415-90	Protein	0.005	4.326919269747039	0.11226680023569413	21242.558814314783	5782.187274853059
GKN2	6416-8	Protein	20	1.74004901522099	0.1697227847962145	57.41808531886281	23.468730393854266
Fc_MOUSE	6417-55	Protein	0.5	3.255232536776235	0.15772690281466484	1820.7384652949056	716.4140165580446
Fc_MOUSE	6419-75	Protein	20	2.5820276165889195	0.17923552160660794	394.73082210093247	176.06220399966818
SDHF2	6420-4	Protein	0.005	2.3473090801040364	0.09580287434834056	222.2985197322877	50.75694887646862
IFN16	6421-52	Protein	20	2.72461316288359	0.1375327193774527	540.7185670064687	178.23083053533145
C1QL2	6423-66	Protein	0.5	3.3902301883447934	0.1380203112568068	2488.7877268865263	832.9453232650641
RNS13	6424-2	Protein	20	3.0404395068112695	0.13067398457649992	1129.2771880488144	344.34124353737815
MMP19	6425-87	Protein	0.5	3.89235267661014	0.12952349561588106	7970.290248759362	2440.6180291056385
F19A2	6430-36	Protein	20	2.357459608220194	0.13430392718269246	234.79102104614088	73.66996133045127
PCYOX	6431-68	Protein	0.005	3.3007655169631054	0.14910455326961447	1975.2491253208966	726.0558394832432
FA20A	6433-57	Protein	20	3.1555126709929175	0.14207412183329282	1436.533466922153	505.5919828417666
Amine oxidase	6434-18	Protein	20	2.604443755536142	0.14773530667513302	416.52029580305106	145.35318837071267
CN093	6439-59	Protein	0.005	3.819905681656407	0.15041781126372822	6637.828640809823	2495.2826023266093
MFAP5	6440-31	Protein	20	3.4088225712869367	0.13508868638805205	2569.1537150854097	855.9329399474709
ATS6	6441-62	Protein	20	3.126476096018945	0.11040262507906748	1338.0754397620751	346.1839211545926
BAGE3	6442-6	Protein	0.005	3.5911709900301942	0.09256982562371618	3932.134523598708	849.9528403641586
Fc_MOUSE	6443-68	Protein	20	2.5003232241668156	0.14148134013724523	325.6608706579544	109.10161527190733
PSG3	6444-15	Protein	20	2.8295623976383397	0.15224002334968856	696.2530281361783	254.09719576316022
PTX3	6447-73	Protein	20	2.7615407317074276	0.1412775302251128	588.6690272933159	200.31766959144488
Sema E	6448-36	Protein	20	2.898316416863983	0.14132768886930314	800.7400158067082	276.2136204305493
FABP6	6450-8	Protein	20	2.440409665491001	0.09006239155127438	281.64079523131994	57.027207363548364
ASPN	6451-64	Protein	0.5	4.010384082587702	0.09915606654997822	10258.323609511659	2426.4850727750795
LIRB4	6453-70	Protein	0.5	2.713879930911187	0.12513817780782577	518.1720972739214	159.3469767411043
Rho-GDIa	6454-38	Protein	20	2.95841386715532	0.12892918198111114	923.489001924171	283.9508511504428
HPLN4	6455-52	Protein	20	2.5042705946473225	0.11575201764180854	325.27760902627654	87.97654292033721
PSG6	6456-17	Protein	20	2.770217492468475	0.09497157203754347	596.3076710463969	131.17322940365236
PCDG1	6457-50	Protein	20	3.1137587312180663	0.27871104889518383	1274.7872071226902	1091.1690284651638
RPN1	6458-6	Protein	0.5	3.466312042102299	0.18633272491325914	2840.8007176277692	1462.903646149673
Apo C-III	6461-54	Protein	0.5	3.7980774294643007	0.28123681913080256	6343.276543369062	5577.002698345395
TIMP-4	6462-12	Protein	0.5	3.4333805205875794	0.16002684340612205	2716.7341220155104	1106.002172639656
OX26	6463-59	Protein	20	3.1756838253075097	0.17735874461800738	1509.0901126527667	691.3493188856667
PVRIG	6464-40	Protein	20	3.1832532745789486	0.08389961664812517	1549.9981414699005	294.27494313575625
Fc_MOUSE	6466-7	Protein	20	2.6346857874754623	0.12257932441726771	442.8842896247464	125.7363768594267
KTEL1	6467-65	Protein	20	3.34885127687527	0.17507449980504802	2271.347130322789	1060.8089045040645
TKN4	6468-37	Protein	20	2.9010636718452485	0.14591630568050973	811.8822465116128	286.9867767586415
LY66D	6469-62	Protein	20	2.6724706728783527	0.11532164493461283	480.6717225278303	128.56503748761932
fibulin 1	6470-19	Protein	0.5	4.67121375171963	0.10401295381931153	46898.688781106284	11729.97567727581
FHR4	6471-53	Protein	0.5	4.319076153117216	0.40438102047644553	18390.08820619647	28447.283220016452
GP100	6472-40	Protein	20	3.654626227391809	0.22895014670183	4690.679511440505	2896.1678099882383
