SeqId	Target	Type	Dilution	RefLog10Median	RefLog10MAD	RefMedian	RefSD	SeqId
6897-38	B3GA3	Protein	20.0	2.7501611135828803	0.09193378326570989	562.55	262.18472964585044	6897-38
6899-37	PHS2	Protein	20.0	3.1808710507064566	0.15607292020512395	1516.6	5717.1882093435	6899-37
6900-30	UB2J1	Protein	20.0	3.2115076298541503	0.13182039848801558	1627.45	3974.3685095729265	6900-30
6904-14	LRRT2	Protein	20.0	2.7878142843657985	0.09578358137863377	613.5	1410.6584972210946	6904-14
6907-17	TMC5A	Protein	20.0	2.784402926669421	0.08781008526233412	608.7	362.55161767613976	6907-17
6909-40	MGAT2	Protein	0.5	3.0777310824958546	0.07180018513665708	1196.0	218.34457048116266	6909-40
6911-103	CLC6A	Protein	20.0	2.211920756988567	0.07590471394956058	162.89999999999998	159.4580070769429	6911-103
6912-6	EFHA2	Protein	20.0	2.5298151966446305	0.09442597398782993	338.7	1952.3349471028084	6912-6
6913-189	HMG-2	Protein	20.0	2.5741470024173165	0.09479366408913338	375.1	287.8952562280279	6913-189
6914-15	AMGO2	Protein	20.0	3.64968894356117	0.07825790211839952	4463.65	951.9347800794756	6914-15
6915-2	C16L2	Protein	20.0	2.675777868093177	0.13932791717869253	474.0	252.0609649600215	6915-2
6917-49	LRRC3	Protein	20.0	2.615897390862499	0.10870585650057224	412.95	5976.339136861786	6917-49
6918-183	CCKN	Protein	20.0	3.1010937449250955	0.13909564172716873	1262.1	493.60104192050676	6918-183
6919-3	HBAZ	Protein	0.5	3.183227112651516	0.09241608395128581	1524.85	630.4921138429156	6919-3
6920-1	GFRAL	Protein	20.0	3.0573807567811615	0.10828192025568359	1141.25	1499.523098400102	6920-1
6921-24	B4GT3	Protein	20.0	2.978089163448077	0.08281372132760786	950.8	362.550196433073	6921-24
6923-1	PLOD2	Protein	20.0	3.151429050515369	0.1722729256829629	1417.1999999999998	1770.417449547321	6923-1
6925-26	SNX8	Protein	20.0	3.502693188825935	0.2846603578238931	3181.95	2938.8264411255186	6925-26
6927-7	NDST1	Protein	0.5	3.574482249943289	0.0617685254319104	3753.9	575.8742303813239	6927-7
6929-10	SIA8C	Protein	20.0	2.4943633336958655	0.09120483554583589	312.15	1067.5712686016034	6929-10
6930-95	SIA8F	Protein	20.0	2.8752637239251406	0.0967145287728722	750.35	327.3096509704472	6930-95
6931-10	CTAG1A	Protein	0.5	3.4721340501899416	0.1575385636224681	2965.75	1953.0157301406307	6931-10
6932-42	ITA5	Protein	20.0	3.4046455952578203	0.10218599106691979	2538.9	626.8154740757095	6932-42
6933-20	RM34	Protein	20.0	3.0210445056752704	0.0843293156998903	1049.65	526.4027342049507	6933-20
6934-8	Fc_MOUSE	Protein	20.0	3.8526540859468197	0.23561616716822065	7122.9	5142.618510898936	6934-8
6935-123	BAMBI	Protein	20.0	3.638868474570379	0.1652495111387452	4353.8	1714.8220767222772	6935-123
6936-7	PMEPA	Protein	20.0	3.010384738377274	0.10881371595283049	1024.1999999999998	1774.7833447237147	6936-7
6937-251	CA043	Protein	20.0	2.555154724724461	0.08827565152097533	359.04999999999995	230.30570772835773	6937-251
6938-21	PCDGC	Protein	20.0	3.0691498898487786	0.08577849654439156	1172.6	836.0270255387318	6938-21
6940-18	JPH1	Protein	20.0	3.1542717717246394	0.0801325965973988	1426.5	958.4804130505898	6940-18
